race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,day,castingStat,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup,alias,difficulty,classType,keyStats,primaryClass,primaryDifficulty,primaryClassType,primaryKeyStats
Human,City Watch,2019-03-30T05:37:21Z,['Druid 20'],['Druid'],['Circle of Spores'],20,['Elemental Adept'],195,17,8,18,18,12,20,8,,"['Athletics', 'Nature', 'Animal Handling', 'Insight', 'Perception']",Scimitar,Chill Touch*0|Blindness/Deafness*1|Gentle Repose*1|Animate Dead*2|Gaseous Form*2|Blight*3|Confusion*3|Cloudkill*4|Contagion*4,03 29 2019,Wis,United States,US,,,,Human,{'0': ['Chill Touch']},['Scimitar'],19-20,awesome_jones,Challenging,Magical,Wis,Druid,Challenging,Magical,Wis
Human,Noble,2019-03-28T02:52:00Z,['Wizard 20'],['Wizard'],['School of Enchantment'],20,"['War Caster', 'Spell Sniper', 'Resilient']",200,14,13,19,19,21,15,20,,"['Arcana', 'History', 'Insight', 'Persuasion']",Quarterstaff,Fire Bolt*0|Eldritch Blast*0|Tasha's Hideous Laughter*1|Summon Lesser Demons*3|Confusion*4|Dominate Person*5|Hold Monster*5|Synaptic Static*5|Otto's Irresistible Dance*6|Power Word Pain*7|Finger Of Death*7|Feeblemind*8|Dominate Monster*8|Power Word Kill*9|Psychic Scream*9,03 27 2019,Int,Canada,CA,,,,Human,"{'0': ['Fire Bolt', 'Eldritch Blast'], '1': [""Tasha's Hideous Laughter""], '3': ['Summon Lesser Demons'], '4': ['Confusion'], '5': ['Dominate Person', 'Hold Monster', 'Synaptic Static'], '6': [""Otto's Irresistible Dance""], '7': ['Power Word Pain', 'Finger of Death'], '8': ['Feeblemind', 'Dominate Monster'], '9': ['Power Word Kill', 'Psychic Scream']}",['Quarterstaff'],19-20,musing_swanson,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Human,Sage,2019-03-27T16:09:36Z,['Wizard 20'],['Wizard'],['School of Necromancy'],20,"['Keen Mind', 'War Caster', 'Spell Sniper', 'Actor', 'Magic Initiate']",174,13,14,17,21,26,22,22,,"['Arcana', 'History', 'Investigation', 'Insight']",Quarterstaff,Animate Dead*3,03 27 2019,Int,United States,US,,,,Human,{'3': ['Animate Dead']},['Quarterstaff'],19-20,relaxed_shtern,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Eladrin Tof,Acolyte,2019-03-23T22:01:58Z,['Sorcerer 20'],['Sorcerer'],['Wild Magic'],20,"['Magic Initiate', 'Elven Accuracy']",81,14,8,18,10,14,12,20,,"['Religion', 'Insight', 'Perception', 'Deception', 'Persuasion']",Quarterstaff|Dagger,Viscious Mockery*0|Pretidigitation*0|Minor Illusion*0|Message*0|Mending*0|Bane*1|Catnap*3|Enemies Abound*3|Charm Monster*4|Synaptic Static*5|Mental Prison*6|Power Word Pain*7|Power Word kill*9|Psychic Scream*9,03 23 2019,Cha,United States,US,,,,Eladrin,"{'0': ['Vicious Mockery', 'Prestidigitation', 'Minor Illusion', 'Message', 'Mending'], '1': ['Bane'], '3': ['Catnap', 'Enemies Abound'], '4': ['Charm Monster'], '5': ['Synaptic Static'], '6': ['Mental Prison'], '7': ['Power Word Pain'], '9': ['Power Word Kill', 'Psychic Scream']}","['Quarterstaff', 'Dagger']",19-20,relaxed_greider,Challenging,Magical,Cha,Sorcerer,Challenging,Magical,Cha
Eladrin Tof,Noble,2019-03-23T21:24:39Z,['Fighter 20'],['Fighter'],['Battle Master'],20,[nan],189,16,20,20,18,10,8,13,,"['Athletics', 'Acrobatics', 'History', 'Perception', 'Persuasion']",Longbow|Longsword|Handaxe,,03 23 2019,Int,United States,US,,,,Eladrin,,"['Longbow', 'Longsword', 'Handaxe']",19-20,silly_babbage,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Human,Sage,2019-03-23T13:45:55Z,['Wizard 20'],['Wizard'],['School of Necromancy'],20,[nan],115,11,12,13,14,22,20,20,,"['Arcana', 'History', 'Investigation', 'Medicine']",Quarterstaff,Animate Dead*3|Time Stop*9,03 23 2019,Int,United States,US,,,,Human,"{'3': ['Animate Dead'], '9': ['Time Stop']}",['Quarterstaff'],19-20,hardcore_pare,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Mountain Dwarf,Mercenary Veteran,2019-03-23T10:22:31Z,['Fighter 20'],['Fighter'],['Battle Master'],20,[nan],284,23,20,20,20,10,10,6,Chaotic Good,"['Athletics', 'Insight', 'Perception', 'Persuasion']",Eclipse Greatsword of the Stars|Explosive Dagger|Warhammer of Earthshatter|Flame Spear,,03 23 2019,Int,United States,US,CG,,,Dwarf,,"['Greatsword', 'Dagger', 'Warhammer', 'Spear']",19-20,gifted_curie,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Goliath,Folk Hero,2019-03-09T17:44:30Z,['Fighter 20'],['Fighter'],['Champion'],20,"['Great Weapon Master', 'Tough', 'Mobile']",264,22,20,12,20,8,14,10,CG,"['Athletics', 'Animal Handling', 'Perception', 'Survival']",Defender|Great Weapon Master,,03 09 2019,Int,United States,US,CG,,,Goliath,,[nan],19-20,mystifying_spence,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Goliath,Outlander,2019-02-16T03:01:04Z,['Barbarian 20'],['Barbarian'],['Path of the Berserker'],20,[nan],359,18,22,16,20,14,14,14,,"['Athletics', 'Nature', 'Survival', 'Intimidation']",Greataxe|Handaxe|Javelin|Unarmed strike,,02 15 2019,Int,United States,US,,,,Goliath,,"['Greataxe', 'Handaxe', 'Javelin', 'Unarmed Strike']",19-20,friendly_ptolemy,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Tiefling,Criminal,2019-02-14T21:06:28Z,['Rogue 20'],['Rogue'],['Assassin'],20,"['Crossbow Expert', 'Dual Wielder', 'Sharpshooter', 'Flames of Phlegethos']",139,15,14,17,13,11,10,15,,"['Acrobatics', 'Sleight of Hand', 'Stealth', 'Investigation', 'Perception', 'Deception']","Rapier|Dagger|Crossbow, light",,02 14 2019,Int,Dominican Republic,DO,,,,Tiefling,,"['Rapier', 'Dagger', 'Crossbow, Light']",19-20,magical_rhodes,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
