ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	castingStat	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
1796d26	b107a60	345e9a58	a2f978	Human	City Watch	2019-03-30T05:37:21Z	Druid 20	Druid	Circle of Spores	20	Elemental Adept	195	17	8	18	18	12	20	8		Athletics|Nature|Animal Handling|Insight|Perception	Scimitar	Chill Touch*0|Blindness/Deafness*1|Gentle Repose*1|Animate Dead*2|Gaseous Form*2|Blight*3|Confusion*3|Cloudkill*4|Contagion*4	03 29 2019	Wis	United States	US		NA	NA	Human	Chill Touch*0	Scimitar	19-20	awesome_jones
	4483ed9	aad24435	fd29fb	Human	Noble	2019-03-28T02:52:00Z	Wizard 20	Wizard	School of Enchantment	20	War Caster|Spell Sniper|Resilient	200	14	13	19	19	21	15	20		Arcana|History|Insight|Persuasion	Quarterstaff	Fire Bolt*0|Eldritch Blast*0|Tasha's Hideous Laughter*1|Summon Lesser Demons*3|Confusion*4|Dominate Person*5|Hold Monster*5|Synaptic Static*5|Otto's Irresistible Dance*6|Power Word Pain*7|Finger Of Death*7|Feeblemind*8|Dominate Monster*8|Power Word Kill*9|Psychic Scream*9	03 27 2019	Int	Canada	CA		NA	NA	Human	Fire Bolt*0|Eldritch Blast*0|Tasha's Hideous Laughter*1|Summon Lesser Demons*3|Confusion*4|Dominate Person*5|Hold Monster*5|Synaptic Static*5|Otto's Irresistible Dance*6|Power Word Pain*7|Finger of Death*7|Feeblemind*8|Dominate Monster*8|Power Word Kill*9|Psychic Scream*9	Quarterstaff	19-20	musing_swanson
ca47b89	fe0c94f	dd707c2a	ba2922	Human	Sage	2019-03-27T16:09:36Z	Wizard 20	Wizard	School of Necromancy	20	Keen Mind|War Caster|Spell Sniper|Actor|Magic Initiate	174	13	14	17	21	26	22	22		Arcana|History|Investigation|Insight	Quarterstaff	Animate Dead*3	03 27 2019	Int	United States	US		NA	NA	Human	Animate Dead*3	Quarterstaff	19-20	relaxed_shtern
1cfbf87	36feff9	2bc90c85	31e4af	Eladrin ToF	Acolyte	2019-03-23T22:01:58Z	Sorcerer 20	Sorcerer	Wild Magic	20	Magic Initiate|Elven Accuracy	81	14	8	18	10	14	12	20		Religion|Insight|Perception|Deception|Persuasion	Quarterstaff|Dagger	Viscious Mockery*0|Pretidigitation*0|Minor Illusion*0|Message*0|Mending*0|Bane*1|Catnap*3|Enemies Abound*3|Charm Monster*4|Synaptic Static*5|Mental Prison*6|Power Word Pain*7|Power Word kill*9|Psychic Scream*9	03 23 2019	Cha	United States	US		NA	NA	Eladrin	Vicious Mockery*0|Prestidigitation*0|Minor Illusion*0|Message*0|Mending*0|Bane*1|Catnap*3|Enemies Abound*3|Charm Monster*4|Synaptic Static*5|Mental Prison*6|Power Word Pain*7|Power Word Kill*9|Psychic Scream*9	Quarterstaff|Dagger	19-20	relaxed_greider
1cfbf87	36feff9	1725f278	dd46f0	Eladrin ToF	Noble	2019-03-23T21:24:39Z	Fighter 20	Fighter	Battle Master	20		189	16	20	20	18	10	8	13		Athletics|Acrobatics|History|Perception|Persuasion	Longbow|Longsword|Handaxe		03 23 2019	Int	United States	US		NA	NA	Eladrin		Longbow|Longsword|Handaxe	19-20	silly_babbage
ca47b89	fc8058a	691ebf57	250c55	Human	Sage	2019-03-23T13:45:55Z	Wizard 20	Wizard	School of Necromancy	20		115	11	12	13	14	22	20	20		Arcana|History|Investigation|Medicine	Quarterstaff	Animate Dead*3|Time Stop*9	03 23 2019	Int	United States	US		NA	NA	Human	Animate Dead*3|Time Stop*9	Quarterstaff	19-20	hardcore_pare
1f42231	2ae9c85	e4e98034	0aa943	Mountain Dwarf	Mercenary Veteran	2019-03-23T10:22:31Z	Fighter 20	Fighter	Battle Master	20		284	23	20	20	20	10	10	6	Chaotic Good	Athletics|Insight|Perception|Persuasion	Eclipse Greatsword of the Stars|Explosive Dagger|Warhammer of Earthshatter|Flame Spear		03 23 2019	Int	United States	US	CG	NA	NA	Dwarf		Greatsword|Dagger|Warhammer|Spear	19-20	gifted_curie
3aefc01	349ee58	6ff90166	45aeb4	Goliath	Folk Hero	2019-03-09T17:44:30Z	Fighter 20	Fighter	Champion	20	Great Weapon Master|Tough|Mobile	264	22	20	12	20	8	14	10	CG	Athletics|Animal Handling|Perception|Survival	Defender|Great Weapon Master		03 09 2019	Int	United States	US	CG	NA	NA	Goliath			19-20	mystifying_spence
dc52660	93dc469	3b56c366	804e71	Goliath	Outlander	2019-02-16T03:01:04Z	Barbarian 20	Barbarian	Path of the Berserker	20		359	18	22	16	20	14	14	14		Athletics|Nature|Survival|Intimidation	Greataxe|Handaxe|Javelin|Unarmed strike		02 15 2019	Int	United States	US		NA	NA	Goliath		Greataxe|Handaxe|Javelin|Unarmed Strike	19-20	friendly_ptolemy
2338a3d	cb5a583	2f9e60ba	b5d8dd	Tiefling	Criminal	2019-02-14T21:06:28Z	Rogue 20	Rogue	Assassin	20	Crossbow Expert|Dual Wielder|Sharpshooter|Flames of Phlegethos	139	15	14	17	13	11	10	15		Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception	Rapier|Dagger|Crossbow, light		02 14 2019	Int	Dominican Republic	DO		NA	NA	Tiefling		Rapier|Dagger|Crossbow, Light	19-20	magical_rhodes
